gvkey,lpermno,datadate,fyear,indfmt,consol,popsrc,datafmt,cusip,CURCD,ACT,AT,CHE,CSHO,DLC,DP,DVP,IB,LCT,LT,PSTKL,PSTKRV,TXDI,TXDITC,UPSTK,COSTAT,SICH,adjex_f,SIC
001300,10145,19611231,1961,INDL,C,D,STD,438516106,USD,237.2000,818.4000,41.7000,20.0760,0.0000,52.1600,0.0000,47.2100,96.3000,311.7190,0.0000,0.0000,0.0000,0.0000,,A,,6.3672,3728
001300,10145,19621231,1962,INDL,C,D,STD,438516106,USD,282.0000,1022.3780,45.7000,26.4670,2.9000,74.7500,0.0000,57.9800,98.8360,410.4810,0.0000,0.0000,16.9300,25.4300,,A,,6.3672,3728
001300,10145,19631231,1963,INDL,C,D,STD,438516106,USD,300.9000,1069.0000,44.4000,26.0760,2.8000,79.9400,0.0000,72.2400,112.8560,454.4680,0.0000,0.0000,19.6900,45.6180,,A,,6.3672,3728
001300,10145,19641231,1964,INDL,C,D,STD,438516106,USD,309.0000,1141.2000,24.7000,26.2970,1.6000,86.3400,0.0000,81.0100,120.2910,481.7120,0.0000,0.0000,14.8900,56.9630,,A,,6.3672,3728
001300,10145,19651231,1965,INDL,C,D,STD,438516106,USD,348.9000,1268.6000,22.1000,26.8340,1.5000,93.1600,0.0000,84.3500,142.9620,575.3990,0.0000,0.0000,11.3500,68.2760,,A,,6.2424,3728
001300,10145,19661231,1966,INDL,C,D,STD,438516106,USD,433.6000,1493.9000,44.9000,27.4900,1.6000,105.7700,0.0000,89.2100,183.7910,759.4740,0.0000,0.0000,-0.6600,67.7390,,A,,6.1200,3728
001300,10145,19671231,1967,INDL,C,D,STD,438516106,USD,474.2000,1602.5000,38.6000,27.9750,61.6000,111.3800,0.0000,69.8000,216.5500,850.3370,0.0000,0.0000,11.8200,29.1300,,A,,6.0000,3728
001300,10145,19681231,1968,INDL,C,D,STD,438516106,USD,492.7000,1494.6000,31.4000,28.0540,41.3000,124.2800,0.0000,40.8400,200.6740,770.2050,0.0000,0.0000,2.3200,27.3210,,A,,6.0000,3728
001300,10145,19691231,1969,INDL,C,D,STD,438516106,USD,457.3290,1524.0020,26.4960,27.7450,11.1200,124.3850,0.0000,68.0290,168.0810,774.3510,0.0000,0.0000,12.3780,41.8780,,A,,6.0000,3728
001300,10145,19701231,1970,INDL,C,D,STD,438516106,USD,494.0370,1582.0570,35.2960,27.5550,71.4230,121.1660,0.0000,43.0620,244.1820,800.6140,0.0000,0.0000,11.3240,54.2660,,A,,6.0000,3728
