DATE,PERMNO,SHRCD,EXCHCD,SICCD,DLRETX,DLRET,SHROUT,PRC,VOL,RET,RETX
19580131,10145,11,1,2810,,,9922,76.00000,491,0.050086,0.050086
19580228,10145,11,1,2810,,,9922,76.75000,643,0.019737,0.009868
19580331,10145,11,1,2810,,,9922,74.00000,449,-0.035831,-0.035831
19580430,10145,11,1,2810,,,9922,74.00000,524,0.000000,0.000000
19580529,10145,11,1,2810,,,9922,76.00000,593,0.037162,0.027027
19580630,10145,11,1,2810,,,9922,77.75000,766,0.023026,0.023026
19580731,10145,11,1,2810,,,9922,86.50000,980,0.112540,0.112540
19580829,10145,11,1,2810,,,9922,87.50000,671,0.020231,0.011561
19580930,10145,11,1,2810,,,9922,92.75000,771,0.060000,0.060000
19581031,10145,11,1,2810,,,9922,91.25000,998,-0.016173,-0.016173
19581128,10145,11,1,2810,,,9922,89.00000,590,-0.016438,-0.024658
19581231,10145,11,1,2810,,,9929,93.62500,867,0.051966,0.051966
19590130,10145,11,1,2810,,,9929,99.50000,1078,0.062750,0.062750
19590227,10145,11,1,2810,,,9929,106.00000,643,0.072864,0.065327
19590331,10145,11,1,2810,,,9929,104.75000,729,-0.011792,-0.011792
19590430,10145,11,1,2810,,,9929,112.25000,947,0.071599,0.071599
19590529,10145,11,1,2810,,,9929,122.50000,672,0.097996,0.091314
19590630,10145,11,1,2810,,,9929,116.75000,559,-0.046939,-0.046939
19590731,10145,11,1,2810,,,9929,127.50000,770,0.092077,0.092077
19590831,10145,11,1,2810,,,9929,117.25000,529,-0.074510,-0.080392
19590930,10145,11,1,2810,,,9929,111.62500,435,-0.047974,-0.047974
19591030,10145,11,1,2810,,,9929,120.00000,586,0.075028,0.075028
19591130,10145,11,1,2810,,,9929,116.50000,479,-0.021667,-0.029167
19591231,10145,11,1,2810,,,9953,115.25000,763,-0.010730,-0.010730
19600129,10145,11,1,2810,,,19906,51.50000,682,-0.106291,-0.106291
19600229,10145,11,1,2810,,,19906,52.62500,1749,0.030583,0.021845
19600331,10145,11,1,2810,,,19906,49.00000,1273,-0.068884,-0.068884
19600429,10145,11,1,2810,,,19906,49.37500,919,0.007653,0.007653
19600531,10145,11,1,2810,,,19906,51.75000,1115,0.057215,0.048101
19600630,10145,11,1,2810,,,19906,55.87500,1643,0.079710,0.079710
19600729,10145,11,1,2810,,,19906,54.00000,1186,-0.033557,-0.033557
19600831,10145,11,1,2810,,,19906,56.00000,962,0.045370,0.037037
19600930,10145,11,1,2810,,,19906,47.87500,926,-0.145089,-0.145089
19601031,10145,11,1,2810,,,19906,49.25000,1100,0.028721,0.028721
19601130,10145,11,1,2810,,,19906,49.87500,821,0.021827,0.012690
19601230,10145,11,1,2810,,,19976,54.37500,927,0.090226,0.090226
19610131,10145,11,1,2810,,,19976,57.00000,1016,0.048276,0.048276
19610228,10145,11,1,2810,,,19976,57.50000,1274,0.016667,0.008772
19610330,10145,11,1,2810,,,19976,62.50000,1581,0.086957,0.086957
19610428,10145,11,1,2810,,,19976,58.62500,901,-0.062000,-0.062000
19610531,10145,11,1,2810,,,19976,63.00000,1081,0.082303,0.074627
19610630,10145,11,1,2810,,,19976,58.75000,945,-0.067460,-0.067460
19610731,10145,11,1,2810,,,19976,65.00000,740,0.106383,0.106383
19610831,10145,11,1,2810,,,19976,61.75000,1051,-0.043077,-0.050000
19610929,10145,11,1,2810,,,19976,58.75000,719,-0.048583,-0.048583
19611031,10145,11,1,2810,,,19976,56.75000,714,-0.034043,-0.034043
19611130,10145,11,1,2810,,,19976,54.00000,1569,-0.040529,-0.048458
19611229,10145,11,1,2810,,,20076,55.62500,3629,0.030093,0.030093
19620131,10145,11,1,2810,,,20076,53.12500,1571,-0.044944,-0.044944
19620228,10145,11,1,2810,,,20076,51.62500,1858,-0.019765,-0.028235
19620330,10145,11,1,2810,,,20076,46.75000,2702,-0.094431,-0.094431
19620430,10145,11,1,2810,,,20076,43.87500,2418,-0.061497,-0.061497
19620531,10145,11,1,2810,,,20076,41.87500,3366,-0.035328,-0.045584
19620629,10145,11,1,2810,,,20076,38.87500,3298,-0.071642,-0.071642
19620731,10145,11,1,2812,,,26466,37.00000,3072,-0.048232,-0.048232
19620831,10145,11,1,2812,,,26466,38.12500,3573,0.042568,0.030405
19620928,10145,11,1,2812,,,26466,37.25000,2895,-0.022951,-0.022951
19621031,10145,11,1,2812,,,26466,38.12500,2752,0.023490,0.023490
19621130,10145,11,1,2812,,,26466,43.12500,3464,0.142951,0.131148
19621231,10145,11,1,2812,,,26466,44.25000,3316,0.026087,0.026087
19630131,10145,11,1,2812,,,26466,45.37500,3138,0.025424,0.025424
19630228,10145,11,1,2812,,,26466,43.37500,1614,-0.034160,-0.044077
19630329,10145,11,1,2812,,,26466,45.12500,1890,0.040346,0.040346
19630430,10145,11,1,2812,,,26466,50.12500,2925,0.110803,0.110803
19630531,10145,11,1,2812,,,26466,49.75000,2052,0.001496,-0.007481
19630628,10145,11,1,2812,,,26466,48.50000,2646,-0.025126,-0.025126
19630731,10145,11,1,2812,,,26466,49.62500,1715,0.023196,0.023196
19630830,10145,11,1,2812,,,26466,50.00000,1878,0.016625,0.007557
19630930,10145,11,1,2812,,,26466,50.12500,2208,0.002500,0.002500
19631031,10145,11,1,2812,,,26466,53.75000,2701,0.072319,0.072319
19631129,10145,11,1,2812,,,26466,54.12500,1753,0.015349,0.006977
19631231,10145,11,1,2812,,,26076,54.75000,2215,0.011547,0.011547
19640131,10145,11,1,2812,,,26076,54.00000,1772,-0.013699,-0.013699
19640228,10145,11,1,2812,,,26076,53.87500,1445,0.006019,-0.002315
19640331,10145,11,1,2812,,,26076,56.37500,2000,0.046404,0.046404
19640430,10145,11,1,2812,,,26076,54.25000,1811,-0.037694,-0.037694
19640528,10145,11,1,2812,,,26076,53.50000,1600,-0.005530,-0.013825
19640630,10145,11,1,2812,,,26076,54.62500,1615,0.021028,0.021028
19640731,10145,11,1,2812,,,26076,52.75000,1764,-0.034325,-0.034325
19640831,10145,11,1,2812,,,26076,52.12500,1349,-0.003318,-0.011848
19640930,10145,11,1,2812,,,26076,53.50000,1773,0.026379,0.026379
19641030,10145,11,1,2812,,,26076,55.25000,2237,0.032710,0.032710
19641130,10145,11,1,2812,,,26076,52.25000,1856,-0.046154,-0.054299
19641231,10145,11,1,2812,,,26296,51.62500,2004,-0.011962,-0.011962
19650129,10145,11,1,2812,,,26296,57.00000,2567,0.104116,0.104116
19650226,10145,11,1,2812,,,26822,56.75000,2024,0.023860,0.015526
19650331,10145,11,1,2812,,,26822,55.62500,2075,-0.019824,-0.019824
19650430,10145,11,1,2812,,,26822,53.87500,2006,-0.031461,-0.031461
19650528,10145,11,1,2812,,,26822,51.75000,1865,-0.030626,-0.039443
19650630,10145,11,1,2812,,,26822,48.50000,3571,-0.062802,-0.062802
19650730,10145,11,1,2812,,,26822,46.62500,2458,-0.038660,-0.038660
19650831,10145,11,1,2812,,,26822,47.87500,4281,0.036997,0.026810
19650930,10145,11,1,2812,,,26822,48.75000,3822,0.018277,0.018277
19651029,10145,11,1,2812,,,26822,47.62500,3395,-0.023077,-0.023077
19651130,10145,11,1,2812,,,26822,47.25000,3894,0.002100,-0.007874
19651231,10145,11,1,2812,,,26833,49.12500,4774,0.039683,0.039683
19660131,10145,11,1,2812,,,26833,48.75000,4538,-0.007634,-0.007634
19660228,10145,11,1,2812,,,27370,45.87500,3678,-0.030410,-0.040154
